"date","state","previous_day_admission_influenza_confirmed","previous_day_admission_influenza_confirmed_coverage","previous_day_deaths_influenza","previous_day_deaths_influenza_coverage","previous_day_admission_adult_covid_confirmed","previous_day_admission_adult_covid_confirmed_coverage","previous_day_admission_pediatric_covid_confirmed","previous_day_admission_pediatric_covid_confirmed_coverage","deaths_covid","deaths_covid_coverage"
2020-01-01,"MN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-01,"AL",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-01,"LA",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-01,"TX",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-01,"HI",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-01,"NC",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-01,"PR",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-01,"IN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-01,"MT",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-02,"IN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-02,"NV",1,59,0,59,132,59,0,59,29,59
2020-01-02,"HI",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-02,"PR",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-02,"TX",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-02,"AL",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-02,"MT",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-02,"MN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-02,"LA",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-02,"NC",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-03,"IN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-03,"PR",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-03,"NV",1,59,0,59,132,59,0,59,29,59
2020-01-03,"LA",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-03,"AL",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-03,"MT",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-03,"MN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-03,"HI",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-03,"NC",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-03,"TX",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-04,"LA",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-04,"NV",1,59,0,59,132,59,0,59,29,59
2020-01-04,"TX",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-04,"NC",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-04,"AL",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-04,"IN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-04,"MT",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-04,"AR",NA,0,NA,0,0,1,0,1,0,1
2020-01-04,"HI",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-04,"MN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-04,"PR",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-05,"NC",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-05,"HI",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-05,"NV",1,59,0,59,132,59,0,59,29,59
2020-01-05,"AR",NA,0,NA,0,0,1,0,1,0,1
2020-01-05,"TX",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-05,"MN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-05,"AL",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-05,"PR",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-05,"LA",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-05,"MT",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-05,"IN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-06,"AR",NA,0,NA,0,0,1,0,1,0,1
2020-01-06,"NV",1,59,0,59,132,59,0,59,29,59
2020-01-06,"IN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-06,"NC",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-06,"HI",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-06,"MN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-06,"AL",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-06,"MT",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-06,"TX",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-07,"AL",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-07,"MN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-07,"NC",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-07,"IN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-07,"TX",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-07,"HI",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-07,"AR",NA,0,NA,0,0,1,0,1,0,1
2020-01-07,"MT",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-08,"IN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-08,"AL",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-08,"AR",NA,0,NA,0,0,1,0,1,0,1
2020-01-08,"MN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-08,"TX",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-08,"MT",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-08,"NC",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-08,"HI",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-09,"IN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-09,"HI",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-09,"MT",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-09,"NC",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-09,"AL",NA,0,NA,0,NA,0,NA,0,NA,0
2020-01-09,"TX",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-09,"MN",NA,0,NA,0,NA,0,NA,0,0,1
2020-01-10,"MN",NA,0,NA,0,NA,0,NA,0,0,1
